engine,period,weeks,profile,relapsed,final
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,True,
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,True,
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Diego,False,3.795812342461587
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
Fixed 12%/wk @7d,7,14,Lucía,True,
